ProductId,ProductName,CategoryId,Brand,CostPrice,SellingPrice,LaunchDate,IsActive
PROD00001, Brand: HP  Bluetooth Speaker,1,HP,4980,7443.78,2026-04-06,1
PROD00002, Brand: Asus  Tablet,1,Asus,12338,18089.15,2025-06-06,1
PROD00003, Brand: Sony  Smartwatch,1,Sony,17930,28425.81,2024-05-10,1
PROD00004, Brand: LG  Smartphone,1,LG,38593,57681.94,2025-06-03,1
PROD00005, Brand: LG  Router,1,LG,42170,46941.02,2026-07-14,1
PROD00006, Brand: Samsung  Printer,1,Samsung,18465,21898.79,2024-01-20,1
PROD00007, Brand: Lenovo  Printer,1,Lenovo,11773,15155.24,2023-12-12,1
PROD00008, Brand: Dell  Camera,1,Dell,7829,9554.78,2026-07-04,1
PROD00009, Brand: Dell  Camera,1,Dell,23370,36147.81,2024-11-30,1
PROD00010, Brand: LG  Tablet,1,LG,26419,30409.63,2024-04-22,1
PROD00011, Brand: Microsoft  Headphones,1,Microsoft,37323,58778.96,2024-02-03,1
PROD00012, Brand: Lenovo  Printer,1,Lenovo,37648,49477.09,2024-03-26,1
PROD00013, Brand: LG  Smartphone,1,LG,22358,34230.24,2026-04-20,1
PROD00014, Brand: Microsoft  Router,1,Microsoft,7612,8520.77,2025-08-13,1
PROD00015, Brand: Apple  Bluetooth Speaker,1,Apple,29225,42424.93,2024-10-15,1
PROD00016, Brand: Sony  Smartphone,1,Sony,21841,34738.48,2025-01-12,1
PROD00017, Brand: Lenovo  Headphones,1,Lenovo,49900,74904.54,2023-11-10,1
PROD00018, Brand: Asus  Headphones,1,Asus,23290,34840.97,2026-04-23,1
PROD00019, Brand: Microsoft  Tablet,1,Microsoft,35036,43634.19,2025-07-25,1
PROD00020, Brand: Asus  Laptop,1,Asus,21675,25406.64,2024-11-30,1
PROD00021, Brand: Louis Vuitton  Sunglasses,2,Louis Vuitton,31195,46625.24,2023-09-08,1
PROD00022, Brand: Puma  Sneakers,2,Puma,3423,4176.35,2024-12-26,1
PROD00023, Brand: H&M  Watch,2,H&M,44687,61928.74,2024-07-07,1
PROD00024, Brand: Nike  Belt,2,Nike,4998,7532.56,2024-12-16,1
PROD00025, Brand: Louis Vuitton  Watch,2,Louis Vuitton,46277,52382.09,2026-01-29,1
PROD00026, Brand: Puma  Watch,2,Puma,27503,33870.96,2024-12-13,1
PROD00027, Brand: Puma  Sneakers,2,Puma,24438,33952.04,2025-09-04,1
PROD00028, Brand: Gucci  Jeans,2,Gucci,48508,54056.16,2026-06-03,1
PROD00029, Brand: Zara  Belt,2,Zara,902,1083.41,2025-01-16,1
PROD00030, Brand: Zara  Belt,2,Zara,3738,5905.71,2024-10-07,1
PROD00031, Brand: Levi's  Belt,2,Levi's,29715,45371.12,2025-11-20,1
PROD00032, Brand: Nike  Handbag,2,Nike,17339,21046.36,2025-07-27,1
PROD00033, Brand: Zara  Watch,2,Zara,44585,57920.11,2024-01-01,1
PROD00034, Brand: Prada  Sneakers,2,Prada,20556,27993.67,2023-08-20,1
PROD00035, Brand: Prada  Sunglasses,2,Prada,12594,17483.55,2024-11-05,1
PROD00036, Brand: Zara  Jacket,2,Zara,23638,36899.38,2024-09-13,1
PROD00037, Brand: Zara  T-shirt,2,Zara,10490,15390.48,2024-10-08,1
PROD00038, Brand: Prada  Sunglasses,2,Prada,38181,57685.37,2024-05-08,1
PROD00039, Brand: Gucci  Jeans,2,Gucci,41991,49550.58,2026-03-08,1
PROD00040, Brand: H&M  Sunglasses,2,H&M,35666,52250.59,2023-12-07,1
PROD00041, Brand: Cuisinart  Air Fryer,3,Cuisinart,8773,11391.97,2023-10-04,1
PROD00042, Brand: Panasonic  Dinnerware Set,3,Panasonic,46119,66431.44,2024-10-25,1
PROD00043, Brand: Samsung  Toaster,3,Samsung,1967,2201.8,2025-08-28,1
PROD00044, Brand: Tefal  Food Processor,3,Tefal,8128,11998.88,2024-08-01,1
PROD00045, Brand: Samsung  Coffee Maker,3,Samsung,31450,45413.27,2024-12-13,1
PROD00046, Brand: Panasonic  Cookware Set,3,Panasonic,17921,28049.5,2025-06-01,1
PROD00047, Brand: Tefal  Blender,3,Tefal,9035,12706.75,2024-09-08,1
PROD00048, Brand: Bosch  Vacuum Cleaner,3,Bosch,39816,63252.33,2024-05-16,1
PROD00049, Brand: Samsung  Food Processor,3,Samsung,41180,58179.92,2025-10-15,1
PROD00050, Brand: Bosch  Blender,3,Bosch,200,307.3,2024-10-29,1
PROD00051, Brand: Samsung  Blender,3,Samsung,47616,60036.66,2026-01-06,1
PROD00052, Brand: Whirlpool  Toaster,3,Whirlpool,48864,66160.79,2025-03-11,1
PROD00053, Brand: Tefal  Toaster,3,Tefal,7135,8917.4,2026-05-29,1
PROD00054, Brand: Tefal  Toaster,3,Tefal,41869,47907.95,2024-11-16,1
PROD00055, Brand: Panasonic  Toaster,3,Panasonic,8728,11124.74,2024-09-23,1
PROD00056, Brand: Whirlpool  Toaster,3,Whirlpool,7778,9719.26,2024-06-25,1
PROD00057, Brand: Whirlpool  Microwave,3,Whirlpool,4471,5993.95,2025-12-17,1
PROD00058, Brand: Bosch  Microwave,3,Bosch,9636,12174.78,2026-03-03,1
PROD00059, Brand: Whirlpool  Dinnerware Set,3,Whirlpool,8080,9950.17,2025-01-24,1
PROD00060, Brand: Breville  Toaster,3,Breville,8569,11642.18,2024-01-01,1
PROD00061, Brand: Puma  Fitness Tracker,4,Puma,25292,39285.71,2024-08-09,1
PROD00062, Brand: Salomon  Football,4,Salomon,961,1330.7,2025-02-21,1
PROD00063, Brand: Salomon  Tennis Racket,4,Salomon,31288,48750.85,2025-01-10,1
