SupplierId,SupplierCode,SupplierName,ContactName,Email,Phone,City,State,Country,Rating
SUPP001,SUPP0001,"Desai, Pandit and Viswanathan",Kevin Sankaran,divyagill@mallick.info,+914256766681,Pondicherry,Assam,India,4.2
SUPP002,SUPP0002,"Radhakrishnan, Bobal and Contractor",Orinder Lanka,chahalnachiket@ghose.com,0808199509,Bathinda,Mizoram,India,3.7
SUPP003,SUPP0003,Ramakrishnan and Sons,Ojasvi Batra,madanganga@krishnan-gill.org,+913461267232,Kakinada,Manipur,India,3.4
SUPP004,SUPP0004,Kamdar-Nigam,Wyatt Vala,borrayuvraj@narain.org,+914527396599,Mau,Jharkhand,India,5.0
SUPP005,SUPP0005,Choudhary-Parekh,Manan Kalla,onkarsavant@bhagat.com,0518352932,Jalandhar,Madhya Pradesh,India,1.3
SUPP006,SUPP0006,"Hayer, Suri and Kari",Timothy Menon,jeremiah11@chandra.com,6969450725,Firozabad,Arunachal Pradesh,India,2.4
SUPP007,SUPP0007,Walla-Mangat,Ekantika Borah,bakshinandini@manda-bali.biz,+914998614098,Kolhapur,Bihar,India,1.9
SUPP008,SUPP0008,"Ramesh, Sandal and Dave",Jagat Balan,guneet87@kalla.com,+919488820659,North Dumdum,Assam,India,4.4
SUPP009,SUPP0009,Hayer-Vaidya,Yashodhara Sachar,yganesan@sani-ghosh.com,+910716799745,Ulhasnagar,Maharashtra,India,2.5
SUPP010,SUPP0010,"Tank, Prakash and Vohra",Zayyan Barad,obalay@barman.com,07285484258,Buxar,Mizoram,India,2.0
SUPP011,SUPP0011,Ahuja Group,Gavin Shenoy,salvisaanvi@kalla-boase.org,7461853127,Bulandshahr,Uttarakhand,India,3.6
SUPP012,SUPP0012,"Vasa, Agrawal and Rau",Christopher Yogi,sanejason@sule.com,+916651170911,Raurkela Industrial Township,Odisha,India,1.4
SUPP013,SUPP0013,Bhatia and Sons,Raghav Soni,madhavi23@pandya.com,5794059220,Rewa,Sikkim,India,4.9
SUPP014,SUPP0014,"Sachdev, Narayanan and Talwar",Prisha Buch,lilahayre@gade-pal.com,3706784985,Vadodara,Goa,India,1.2
SUPP015,SUPP0015,Jain Inc,Meghana Srinivas,sawhneyakshay@murthy.info,+910845452809,Ahmedabad,Maharashtra,India,4.7
SUPP016,SUPP0016,Kant-Aggarwal,Omaja Sami,vsampath@pal.info,+916589113048,Delhi,Maharashtra,India,2.4
SUPP017,SUPP0017,Sachdeva LLC,Divya Dani,indrajit94@bose.com,3366412606,Sikar,Punjab,India,2.4
SUPP018,SUPP0018,Muni-Handa,Kala Kibe,anamika95@hegde.org,2681863928,Baranagar,Karnataka,India,1.8
SUPP019,SUPP0019,"Keer, Viswanathan and D’Alia",Karan Sane,ibhavsar@pant.com,6563078118,Raichur,Karnataka,India,4.4
SUPP020,SUPP0020,"Mander, Misra and Kala",Lakshmi Dugal,venkataramanfalan@comar-ahluwalia.info,+919790311121,Aurangabad,Telangana,India,1.8
SUPP021,SUPP0021,Dani-Mital,Qarin Varghese,diyagarg@golla-hari.org,09155326267,Bhopal,Maharashtra,India,3.3
SUPP022,SUPP0022,"Sarma, Biswas and Behl",Ronith Hans,vaishnavidhingra@subramaniam-ramanathan.net,4146525006,Nanded,Rajasthan,India,4.2
SUPP023,SUPP0023,Brahmbhatt-Sehgal,Prisha Pradhan,mohantyvaishnavi@patil.com,0932391248,Siwan,Maharashtra,India,1.5
SUPP024,SUPP0024,Tata Group,Ekta Uppal,choudharyvrishti@tiwari.info,3287532019,Mirzapur,Madhya Pradesh,India,1.2
SUPP025,SUPP0025,Minhas-Lad,Harinakshi Din,radhakrishnanjeet@roy-tak.net,00282175238,Chinsurah,Telangana,India,3.6
